,Unnamed: 0,ID,QuestType,verb,WhichQuestion,WhichAnswer,Group,goal,RT,N,ImageName,order,study,Value,logical,pragmatic,global,local
142,271,17236,8,say,Mod,MF,L,none,23568.5,2,spade2.png,,qn,Disagree,0.16666666666666666,0.8333333333333334,0.5,0.5
143,272,17236,8,say,Mod,MF,L,none,23568.5,2,spade1.png,,qn,Disagree,0.16666666666666666,0.8333333333333334,0.5,0.5
144,273,17236,9,know,NoMod,MO,L,none,5447.0,2,club2.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
145,274,17236,9,know,NoMod,MO,L,none,5447.0,2,club1.png,,qn,Disagree,0.16666666666666666,0.8333333333333334,0.5,0.5
146,275,17236,10,know,NoMod,MS,L,none,4357.5,2,diamond2.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
147,276,17236,10,know,NoMod,MS,L,none,4357.5,2,diamond1.png,,qn,Disagree,0.16666666666666666,0.8333333333333334,0.5,0.5
148,277,17236,11,know,NoMod,MA,L,none,8566.5,2,hearts1.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
149,278,17236,11,know,NoMod,MA,L,none,8566.5,2,hearts2.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
150,279,17236,12,know,NoMod,MF,L,none,5951.0,2,jack2.png,,qn,Disagree,0.16666666666666666,0.8333333333333334,0.5,0.5
151,280,17236,12,know,NoMod,MF,L,none,5951.0,2,jack1.png,,qn,Disagree,0.16666666666666666,0.8333333333333334,0.5,0.5
152,281,17236,13,say,NoMod,MO,L,none,13270.5,2,queen2.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
153,282,17236,13,say,NoMod,MO,L,none,13270.5,2,queen1.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
154,283,17236,14,say,NoMod,MS,L,none,12718.0,2,king1.png,,qn,Disagree,0.16666666666666666,0.8333333333333334,0.5,0.5
155,284,17236,14,say,NoMod,MS,L,none,12718.0,2,king2.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
156,285,17236,15,say,NoMod,MA,L,none,4814.0,2,face1.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
157,286,17236,15,say,NoMod,MA,L,none,4814.0,2,face2.png,,qn,Agree,0.16666666666666666,0.8333333333333334,0.5,0.5
158,287,17236,16,say,NoMod,MF,L,none,7320.0,2,number1.png,,qn,Disagree,0.16666666666666666,0.8333333333333334,0.5,0.5
159,288,17236,16,say,NoMod,MF,L,none,7320.0,2,number2.png,,qn,Disagree,0.16666666666666666,0.8333333333333334,0.5,0.5
160,289,17248,1,know,Mod,MO,P,none,5670.5,2,four1.png,,qn,Agree,0.0,1.0,1.0,0.0
161,290,17248,1,know,Mod,MO,P,none,5670.5,2,four2.png,,qn,Agree,0.0,1.0,1.0,0.0
162,291,17248,2,know,Mod,MS,P,none,9599.5,2,red2.png,,qn,Disagree,0.0,1.0,1.0,0.0
163,292,17248,2,know,Mod,MS,P,none,9599.5,2,red1.png,,qn,Agree,0.0,1.0,1.0,0.0
164,293,17248,3,know,Mod,MA,P,none,5326.0,2,black2.png,,qn,Agree,0.0,1.0,1.0,0.0
165,294,17248,3,know,Mod,MA,P,none,5326.0,2,black1.png,,qn,Agree,0.0,1.0,1.0,0.0
166,295,17248,4,know,Mod,MF,P,none,3755.5,2,spade1.png,,qn,Disagree,0.0,1.0,1.0,0.0
167,296,17248,4,know,Mod,MF,P,none,3755.5,2,spade2.png,,qn,Disagree,0.0,1.0,1.0,0.0
168,297,17248,5,say,Mod,MO,P,none,5022.5,2,club1.png,,qn,Disagree,0.0,1.0,1.0,0.0
169,298,17248,5,say,Mod,MO,P,none,5022.5,2,club2.png,,qn,Disagree,0.0,1.0,1.0,0.0
170,299,17248,6,say,Mod,MS,P,none,7681.5,2,diamond1.png,,qn,Disagree,0.0,1.0,1.0,0.0
171,300,17248,6,say,Mod,MS,P,none,7681.5,2,diamond2.png,,qn,Disagree,0.0,1.0,1.0,0.0
172,301,17248,7,say,Mod,MA,P,none,6613.5,2,hearts2.png,,qn,Agree,0.0,1.0,1.0,0.0
173,302,17248,7,say,Mod,MA,P,none,6613.5,2,hearts1.png,,qn,Agree,0.0,1.0,1.0,0.0
174,303,17248,8,say,Mod,MF,P,none,5283.0,2,jack2.png,,qn,Disagree,0.0,1.0,1.0,0.0
175,304,17248,8,say,Mod,MF,P,none,5283.0,2,jack1.png,,qn,Disagree,0.0,1.0,1.0,0.0
176,305,17248,9,know,NoMod,MO,P,none,10037.0,2,queen1.png,,qn,Disagree,0.0,1.0,1.0,0.0
177,306,17248,9,know,NoMod,MO,P,none,10037.0,2,queen2.png,,qn,Disagree,0.0,1.0,1.0,0.0
178,307,17248,10,know,NoMod,MS,P,none,7192.5,2,king2.png,,qn,Agree,0.0,1.0,1.0,0.0
179,308,17248,10,know,NoMod,MS,P,none,7192.5,2,king1.png,,qn,Agree,0.0,1.0,1.0,0.0
180,309,17248,11,know,NoMod,MA,P,none,6610.5,2,face1.png,,qn,Agree,0.0,1.0,1.0,0.0
181,310,17248,11,know,NoMod,MA,P,none,6610.5,2,face2.png,,qn,Agree,0.0,1.0,1.0,0.0
182,311,17248,12,know,NoMod,MF,P,none,5154.5,2,number1.png,,qn,Disagree,0.0,1.0,1.0,0.0
183,312,17248,12,know,NoMod,MF,P,none,5154.5,2,number2.png,,qn,Disagree,0.0,1.0,1.0,0.0
184,313,17248,13,say,NoMod,MO,P,none,4367.0,2,ace1.png,,qn,Disagree,0.0,1.0,1.0,0.0
185,314,17248,13,say,NoMod,MO,P,none,4367.0,2,ace2.png,,qn,Disagree,0.0,1.0,1.0,0.0
186,315,17248,14,say,NoMod,MS,P,none,6229.5,2,ten1.png,,qn,Disagree,0.0,1.0,1.0,0.0
187,316,17248,14,say,NoMod,MS,P,none,6229.5,2,ten2.png,,qn,Disagree,0.0,1.0,1.0,0.0
188,317,17248,15,say,NoMod,MA,P,none,4856.0,2,eight2.png,,qn,Agree,0.0,1.0,1.0,0.0
189,318,17248,15,say,NoMod,MA,P,none,4856.0,2,eight1.png,,qn,Agree,0.0,1.0,1.0,0.0
190,319,17248,16,say,NoMod,MF,P,none,6149.0,2,six2.png,,qn,Disagree,0.0,1.0,1.0,0.0
191,320,17248,16,say,NoMod,MF,P,none,6149.0,2,six1.png,,qn,Disagree,0.0,1.0,1.0,0.0
192,321,17263,1,know,Mod,MO,M,none,7441.5,2,ten1.png,,qn,Disagree,1.0,0.0,1.0,0.0
193,322,17263,1,know,Mod,MO,M,none,7441.5,2,ten2.png,,qn,Disagree,1.0,0.0,1.0,0.0
194,323,17263,2,know,Mod,MS,M,none,8526.5,2,eight2.png,,qn,Disagree,1.0,0.0,1.0,0.0
195,324,17263,2,know,Mod,MS,M,none,8526.5,2,eight1.png,,qn,Disagree,1.0,0.0,1.0,0.0
