"","ID","QuestType","verb","WhichQuestion","WhichAnswer","Group","goal","RT","N","ImageName","order","study","Value"
"236","17233",6,"say","Mod","MS","B","none",10549.5,2,"jack2.png",NA,"qn","Agree"
"237","17233",7,"say","Mod","MA","B","none",8879,2,"queen1.png",NA,"qn","Agree"
"238","17233",7,"say","Mod","MA","B","none",8879,2,"queen2.png",NA,"qn","Agree"
"239","17233",8,"say","Mod","MF","B","none",6975,2,"king2.png",NA,"qn","Disagree"
"240","17233",8,"say","Mod","MF","B","none",6975,2,"king1.png",NA,"qn","Disagree"
"241","17233",9,"know","NoMod","MO","B","none",7486.5,2,"face2.png",NA,"qn","Agree"
"242","17233",9,"know","NoMod","MO","B","none",7486.5,2,"face1.png",NA,"qn","Agree"
"243","17233",10,"know","NoMod","MS","B","none",8701,2,"number2.png",NA,"qn","Agree"
"244","17233",10,"know","NoMod","MS","B","none",8701,2,"number1.png",NA,"qn","Agree"
"245","17233",11,"know","NoMod","MA","B","none",11613,2,"ace1.png",NA,"qn","Agree"
"246","17233",11,"know","NoMod","MA","B","none",11613,2,"ace2.png",NA,"qn","Agree"
"247","17233",12,"know","NoMod","MF","B","none",7374,2,"ten2.png",NA,"qn","Disagree"
"248","17233",12,"know","NoMod","MF","B","none",7374,2,"ten1.png",NA,"qn","Disagree"
"249","17233",13,"say","NoMod","MO","B","none",8481.5,2,"eight1.png",NA,"qn","Agree"
"250","17233",13,"say","NoMod","MO","B","none",8481.5,2,"eight2.png",NA,"qn","Disagree"
"251","17233",14,"say","NoMod","MS","B","none",5160.5,2,"six1.png",NA,"qn","Agree"
"252","17233",14,"say","NoMod","MS","B","none",5160.5,2,"six2.png",NA,"qn","Agree"
"253","17233",15,"say","NoMod","MA","B","none",12594.5,2,"four2.png",NA,"qn","Agree"
"254","17233",15,"say","NoMod","MA","B","none",12594.5,2,"four1.png",NA,"qn","Agree"
"255","17233",16,"say","NoMod","MF","B","none",6928.5,2,"red2.png",NA,"qn","Disagree"
"256","17233",16,"say","NoMod","MF","B","none",6928.5,2,"red1.png",NA,"qn","Disagree"
"257","17236",1,"know","Mod","MO","L","none",7789,2,"ace2.png",NA,"qn","Agree"
"258","17236",1,"know","Mod","MO","L","none",7789,2,"ace1.png",NA,"qn","Disagree"
"259","17236",2,"know","Mod","MS","L","none",8889.5,2,"ten2.png",NA,"qn","Agree"
"260","17236",2,"know","Mod","MS","L","none",8889.5,2,"ten1.png",NA,"qn","Disagree"
"261","17236",3,"know","Mod","MA","L","none",6891,2,"eight1.png",NA,"qn","Agree"
"262","17236",3,"know","Mod","MA","L","none",6891,2,"eight2.png",NA,"qn","Agree"
"263","17236",4,"know","Mod","MF","L","none",5810,2,"six1.png",NA,"qn","Disagree"
"264","17236",4,"know","Mod","MF","L","none",5810,2,"six2.png",NA,"qn","Disagree"
"265","17236",5,"say","Mod","MO","L","none",3914.5,2,"four2.png",NA,"qn","Agree"
"266","17236",5,"say","Mod","MO","L","none",3914.5,2,"four1.png",NA,"qn","Agree"
"267","17236",6,"say","Mod","MS","L","none",4252.5,2,"red2.png",NA,"qn","Agree"
"268","17236",6,"say","Mod","MS","L","none",4252.5,2,"red1.png",NA,"qn","Agree"
"269","17236",7,"say","Mod","MA","L","none",7503.5,2,"black1.png",NA,"qn","Agree"
"270","17236",7,"say","Mod","MA","L","none",7503.5,2,"black2.png",NA,"qn","Agree"
"271","17236",8,"say","Mod","MF","L","none",23568.5,2,"spade2.png",NA,"qn","Disagree"
"272","17236",8,"say","Mod","MF","L","none",23568.5,2,"spade1.png",NA,"qn","Disagree"
"273","17236",9,"know","NoMod","MO","L","none",5447,2,"club2.png",NA,"qn","Agree"
"274","17236",9,"know","NoMod","MO","L","none",5447,2,"club1.png",NA,"qn","Disagree"
"275","17236",10,"know","NoMod","MS","L","none",4357.5,2,"diamond2.png",NA,"qn","Agree"
"276","17236",10,"know","NoMod","MS","L","none",4357.5,2,"diamond1.png",NA,"qn","Disagree"
"277","17236",11,"know","NoMod","MA","L","none",8566.5,2,"hearts1.png",NA,"qn","Agree"
"278","17236",11,"know","NoMod","MA","L","none",8566.5,2,"hearts2.png",NA,"qn","Agree"
"279","17236",12,"know","NoMod","MF","L","none",5951,2,"jack2.png",NA,"qn","Disagree"
"280","17236",12,"know","NoMod","MF","L","none",5951,2,"jack1.png",NA,"qn","Disagree"
"281","17236",13,"say","NoMod","MO","L","none",13270.5,2,"queen2.png",NA,"qn","Agree"
"282","17236",13,"say","NoMod","MO","L","none",13270.5,2,"queen1.png",NA,"qn","Agree"
"283","17236",14,"say","NoMod","MS","L","none",12718,2,"king1.png",NA,"qn","Disagree"
"284","17236",14,"say","NoMod","MS","L","none",12718,2,"king2.png",NA,"qn","Agree"
"285","17236",15,"say","NoMod","MA","L","none",4814,2,"face1.png",NA,"qn","Agree"
"286","17236",15,"say","NoMod","MA","L","none",4814,2,"face2.png",NA,"qn","Agree"
