"","ID","SentType","Token","SentNumber","Group","RT","N","SubStat","Negation","CompTruth","Matrix","order","goal","study","Value","logRT"
"149","17134","T2","bears",2,"I",2169,1,"expert",0,0,"Zoologists know that",2,"none","cb","Disagree",7.68202151082687
"150","17134","T2","bears",2,"I",2169,1,"expert",0,0,"Zoologists know that",2,"none","cb","Disagree",7.68202151082687
"151","17134","T2","salmon",2,"I",2663,1,"expert",0,0,"Zoologists know that",2,"none","cb","Disagree",7.88720858581393
"152","17134","T2","salmon",2,"I",2663,1,"expert",0,0,"Zoologists know that",2,"none","cb","Disagree",7.88720858581393
"153","17134","T3","monkeys",3,"I",2856,1,"expert",1,1,"Zoologists don't know that",2,"none","cb","Disagree",7.95717732345947
"154","17134","T3","monkeys",3,"I",2856,1,"expert",1,1,"Zoologists don't know that",2,"none","cb","Disagree",7.95717732345947
"155","17134","T3","tunas",3,"I",1767,1,"expert",1,1,"Zoologists don't know that",2,"none","cb","Disagree",7.4770384723197
"156","17134","T3","tunas",3,"I",1767,1,"expert",1,1,"Zoologists don't know that",2,"none","cb","Disagree",7.4770384723197
"157","17134","T4","oranges",1,"I",880,1,"expert",0,1,"Zoologists know that",2,"none","cb","Agree",6.77992190747225
"158","17134","T4","oranges",1,"I",880,1,"expert",0,1,"Zoologists know that",2,"none","cb","Agree",6.77992190747225
"159","17134","T4","vultures",1,"I",1936,1,"expert",0,1,"Zoologists know that",2,"none","cb","Agree",7.56837926783652
"160","17134","T4","vultures",1,"I",1936,1,"expert",0,1,"Zoologists know that",2,"none","cb","Agree",7.56837926783652
"161","17134","T5","beetles",6,"I",2747,1,"novice",1,0,"Babies don't know that",2,"none","cb","Disagree",7.91826468609527
"162","17134","T5","beetles",6,"I",2747,1,"novice",1,0,"Babies don't know that",2,"none","cb","Agree",7.91826468609527
"163","17134","T5","tortoises",6,"I",3838,1,"novice",1,0,"Babies don't know that",2,"none","cb","Disagree",8.25270667656764
"164","17134","T5","tortoises",6,"I",3838,1,"novice",1,0,"Babies don't know that",2,"none","cb","Agree",8.25270667656764
"165","17134","T6","cobras",5,"I",1021,1,"novice",1,1,"Babies don't know that",2,"none","cb","Disagree",6.92853781816467
"166","17134","T6","cobras",5,"I",1021,1,"novice",1,1,"Babies don't know that",2,"none","cb","Disagree",6.92853781816467
"167","17134","T6","ticks",5,"I",1925,1,"novice",1,1,"Babies don't know that",2,"none","cb","Disagree",7.56268124672188
"168","17134","T6","ticks",5,"I",1925,1,"novice",1,1,"Babies don't know that",2,"none","cb","Disagree",7.56268124672188
"169","17134","T7","bees",7,"I",4021,1,"expert",1,0,"Zoologists don't say that",2,"none","cb","Agree",8.29928590689727
"170","17134","T7","bees",7,"I",4021,1,"expert",1,0,"Zoologists don't say that",2,"none","cb","Agree",8.29928590689727
"171","17134","T7","pythons",7,"I",2317,1,"expert",1,0,"Zoologists don't say that",2,"none","cb","Agree",7.74802852443238
"172","17134","T7","pythons",7,"I",2317,1,"expert",1,0,"Zoologists don't say that",2,"none","cb","Agree",7.74802852443238
"173","17134","T8","parrots",8,"I",1445,1,"novice",0,0,"Babies say that",2,"none","cb","Disagree",7.27586460054653
"174","17134","T8","parrots",8,"I",1445,1,"novice",0,0,"Babies say that",2,"none","cb","Disagree",7.27586460054653
"175","17134","T8","watermellon",8,"I",1762,1,"novice",0,0,"Babies say that",2,"none","cb","Disagree",7.47420480649612
"176","17134","T8","watermellon",8,"I",1762,1,"novice",0,0,"Babies say that",2,"none","cb","Disagree",7.47420480649612
"177","17134","T9","kiwis",9,"I",1809,1,"novice",0,1,"Babies say that",2,"none","cb","Disagree",7.50052948539529
